,Postion on chart,Titles,Artists,Weeks,lastPosition,chart_release_date
1292,93,Somebody Else Will,Justin Moore,6,83,7/24/17
1293,94,Famous,21 Savage,1,0,7/24/17
1294,95,Weak,AJR,10,80,7/24/17
1295,96,Heartache On The Dance Floor,Jon Pardi,2,89,7/24/17
1296,97,Butterfly Effect,Travis Scott,7,93,7/24/17
1297,98,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,3,98,7/24/17
1298,99,Reminder,The Weeknd,10,91,7/24/17
1299,100,Element.,Kendrick Lamar,10,96,7/24/17
1300,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,27,1,7/31/17
1301,2,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,5,2,7/31/17
1302,3,That's What I Like,Bruno Mars,27,4,7/31/17
1303,4,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",12,3,7/31/17
1304,5,Unforgettable,French Montana Featuring Swae Lee,15,9,7/31/17
1305,6,Shape Of You,Ed Sheeran,28,5,7/31/17
1306,7,Believer,Imagine Dragons,24,7,7/31/17
1307,8,There's Nothing Holdin' Me Back,Shawn Mendes,13,8,7/31/17
1308,9,Body Like A Back Road,Sam Hunt,25,10,7/31/17
1309,10,Attention,Charlie Puth,13,13,7/31/17
1310,11,Humble.,Kendrick Lamar,16,6,7/31/17
1311,12,Congratulations,Post Malone Featuring Quavo,30,11,7/31/17
1312,13,Redbone,Childish Gambino,33,14,7/31/17
1313,14,Stay,Zedd & Alessia Cara,21,12,7/31/17
1314,15,Something Just Like This,The Chainsmokers & Coldplay,22,15,7/31/17
1315,16,XO TOUR Llif3,Lil Uzi Vert,17,16,7/31/17
1316,17,Now Or Never,Halsey,15,17,7/31/17
1317,18,Mask Off,Future,22,18,7/31/17
1318,19,Slow Hands,Niall Horan,12,19,7/31/17
1319,20,Say You Won't Let Go,James Arthur,39,21,7/31/17
1320,21,It Ain't Me,Kygo x Selena Gomez,23,22,7/31/17
1321,22,Castle On The Hill,Ed Sheeran,28,24,7/31/17
1322,23,Sorry Not Sorry,Demi Lovato,2,52,7/31/17
1323,24,Location,Khalid,28,26,7/31/17
1324,25,Strip That Down,Liam Payne Featuring Quavo,9,28,7/31/17
1325,26,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",5,30,7/31/17
1326,27,Fetish,Selena Gomez Featuring Gucci Mane,2,92,7/31/17
1327,28,Issues,Julia Michaels,26,20,7/31/17
1328,29,Magnolia,Playboi Carti,12,29,7/31/17
1329,30,Bad Liar,Selena Gomez,10,27,7/31/17
1330,31,Malibu,Miley Cyrus,11,31,7/31/17
1331,32,2U,David Guetta Featuring Justin Bieber,6,32,7/31/17
1332,33,Everyday We Lit,YFN Lucci Featuring PnB Rock,15,36,7/31/17
1333,34,Bank Account,21 Savage,2,33,7/31/17
1334,35,Slippery,Migos Featuring Gucci Mane,17,34,7/31/17
1335,36,Closer,The Chainsmokers Featuring Halsey,51,37,7/31/17
1336,37,In Case You Didn't Know,Brett Young,24,38,7/31/17
1337,38,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,16,42,7/31/17
1338,39,My Girl,Dylan Scott,13,44,7/31/17
1339,40,Praying,Kesha,2,25,7/31/17
1340,41,Rake It Up,Yo Gotti Featuring Nicki Minaj,3,68,7/31/17
1341,42,Mi Gente,J Balvin & Willy William Featuring Beyonce,3,53,7/31/17
1342,43,Rolex,Ayo & Teo,23,40,7/31/17
1343,44,Craving You,Thomas Rhett Featuring Maren Morris,16,41,7/31/17
1344,45,Bad And Boujee,Migos Featuring Lil Uzi Vert,36,43,7/31/17
1345,46,iSpy,KYLE Featuring Lil Yachty,30,39,7/31/17
1346,47,Versace On The Floor,Bruno Mars,6,57,7/31/17
1347,48,Felices Los 4,Maluma,10,49,7/31/17
1348,49,Bodak Yellow (Money Moves),Cardi B,3,78,7/31/17
1349,50,24K Magic,Bruno Mars,41,48,7/31/17
1350,51,DNA.,Kendrick Lamar,14,46,7/31/17
1351,52,Small Town Boy,Dustin Lynch,7,54,7/31/17
1352,53,Love Galore,SZA Featuring Travis Scott,6,62,7/31/17
1353,54,Drinkin' Problem,Midland,11,60,7/31/17
1354,55,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,12,61,7/31/17
1355,56,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",6,64,7/31/17
1356,57,Do I Make You Wanna,Billy Currington,6,58,7/31/17
1357,58,Most Girls,Hailee Steinfeld,9,66,7/31/17
1358,59,Thunder,Imagine Dragons,12,70,7/31/17
1359,60,Butterfly Effect,Travis Scott,8,97,7/31/17
1360,61,4:44,JAY-Z,2,35,7/31/17
1361,62,Loyalty.,Kendrick Lamar Featuring Rihanna,14,74,7/31/17
1362,63,Feel It Still,Portugal. The Man,5,80,7/31/17
1363,64,No Such Thing As A Broken Heart,Old Dominion,8,73,7/31/17
1364,65,What Ifs,Kane Brown Featuring Lauren Alaina,6,85,7/31/17
1365,66,Flatliner,Cole Swindell,13,75,7/31/17
1366,67,You Look Good,Lady Antebellum,15,87,7/31/17
1367,68,No Promises,Cheat Codes Featuring Demi Lovato,10,88,7/31/17
1368,69,First Day Out,Tee Grizzley,16,59,7/31/17
1369,70,Escapate Conmigo,Wisin Featuring Ozuna,6,72,7/31/17
1370,71,Yours If You Want It,Rascal Flatts,9,81,7/31/17
1371,72,The Story Of O.J.,JAY-Z,2,23,7/31/17
1372,73,Crying In The Club,Camila Cabello,9,71,7/31/17
1373,74,Passionfruit,Drake,18,67,7/31/17
1374,75,A Lie,French Montana Featuring The Weeknd & Max B,1,0,7/31/17
1375,76,Privacy,Chris Brown,12,77,7/31/17
1376,77,Love.,Kendrick Lamar Featuring Zacari,14,82,7/31/17
1377,78,Down,Fifth Harmony Featuring Gucci Mane,6,0,7/31/17
1378,79,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,18,65,7/31/17
1379,80,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,17,69,7/31/17
1380,81,Heartache On The Dance Floor,Jon Pardi,3,96,7/31/17
1381,82,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,4,98,7/31/17
1382,83,4:00 AM,2 Chainz Featuring Travis Scott,7,76,7/31/17
1383,84,Somebody Else Will,Justin Moore,7,93,7/31/17
1384,85,Every Time I Hear That Song,Blake Shelton,11,79,7/31/17
1385,86,Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,1,0,7/31/17
1386,87,The Cure,Lady Gaga,14,84,7/31/17
1387,88,Signs,Drake,4,83,7/31/17
1388,89,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,2,0,7/31/17
1389,90,Reminder,The Weeknd,11,99,7/31/17
1390,91,Young Dumb & Broke,Khalid,1,0,7/31/17
1391,92,El Amante,Nicky Jam,11,0,7/31/17
1392,93,Weak,AJR,11,95,7/31/17
1393,94,It Ain't My Fault,Brothers Osborne,5,0,7/31/17
1394,95,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",7,0,7/31/17
1395,96,Woman,Kesha Featuring The Dap-Kings Horns,1,0,7/31/17
1396,97,Rollin,Calvin Harris Featuring Future & Khalid,4,0,7/31/17
1397,98,Element.,Kendrick Lamar,11,100,7/31/17
1398,99,Glorious,Macklemore Featuring Skylar Grey,2,89,7/31/17
1399,100,No Complaints,Metro Boomin Featuring Offset & Drake,3,0,7/31/17
1400,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,28,1,8/7/17
1401,2,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6,2,8/7/17
1402,3,That's What I Like,Bruno Mars,28,3,8/7/17
1403,4,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",13,4,8/7/17
1404,5,Believer,Imagine Dragons,25,7,8/7/17
1405,6,Unforgettable,French Montana Featuring Swae Lee,16,5,8/7/17
1406,7,Shape Of You,Ed Sheeran,29,6,8/7/17
1407,8,There's Nothing Holdin' Me Back,Shawn Mendes,14,8,8/7/17
1408,9,Attention,Charlie Puth,14,10,8/7/17
1409,10,Body Like A Back Road,Sam Hunt,26,9,8/7/17
1410,11,Congratulations,Post Malone Featuring Quavo,31,12,8/7/17
1411,12,Humble.,Kendrick Lamar,17,11,8/7/17
1412,13,Redbone,Childish Gambino,34,13,8/7/17
1413,14,Stay,Zedd & Alessia Cara,22,14,8/7/17
1414,15,Something Just Like This,The Chainsmokers & Coldplay,23,15,8/7/17
1415,16,Strip That Down,Liam Payne Featuring Quavo,10,25,8/7/17
1416,17,XO TOUR Llif3,Lil Uzi Vert,18,16,8/7/17
1417,18,Slow Hands,Niall Horan,13,19,8/7/17
1418,19,Now Or Never,Halsey,16,17,8/7/17
1419,20,Mask Off,Future,23,18,8/7/17
1420,21,Bank Account,21 Savage,3,34,8/7/17
1421,22,It Ain't Me,Kygo x Selena Gomez,24,21,8/7/17
1422,23,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",6,26,8/7/17
1423,24,Say You Won't Let Go,James Arthur,40,20,8/7/17
1424,25,Castle On The Hill,Ed Sheeran,29,22,8/7/17
1425,26,Sorry Not Sorry,Demi Lovato,3,23,8/7/17
1426,27,Location,Khalid,29,24,8/7/17
1427,28,Bodak Yellow (Money Moves),Cardi B,4,49,8/7/17
1428,29,2U,David Guetta Featuring Justin Bieber,7,32,8/7/17
1429,30,Mi Gente,J Balvin & Willy William Featuring Beyonce,4,42,8/7/17
1430,31,Slippery,Migos Featuring Gucci Mane,18,35,8/7/17
1431,32,Rake It Up,Yo Gotti Featuring Nicki Minaj,4,41,8/7/17
1432,33,Magnolia,Playboi Carti,13,29,8/7/17
1433,34,Numb,Linkin Park,33,0,8/7/17
1434,35,Issues,Julia Michaels,27,28,8/7/17
1435,36,Everyday We Lit,YFN Lucci Featuring PnB Rock,16,33,8/7/17
1436,37,In The End,Linkin Park,39,0,8/7/17
1437,38,Praying,Kesha,3,40,8/7/17
1438,39,Closer,The Chainsmokers Featuring Halsey,52,36,8/7/17
1439,40,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,1,0,8/7/17
1440,41,Fetish,Selena Gomez Featuring Gucci Mane,3,27,8/7/17
1441,42,Malibu,Miley Cyrus,12,31,8/7/17
1442,43,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,17,38,8/7/17
1443,44,In Case You Didn't Know,Brett Young,25,37,8/7/17
1444,45,Heavy,Linkin Park Featuring Kiiara,18,0,8/7/17
1445,46,Love Galore,SZA Featuring Travis Scott,7,53,8/7/17
1446,47,The Fighter,Keith Urban Featuring Carrie Underwood,23,0,8/7/17
1447,48,Craving You,Thomas Rhett Featuring Maren Morris,17,44,8/7/17
1448,49,Small Town Boy,Dustin Lynch,8,52,8/7/17
1449,50,Rolex,Ayo & Teo,24,43,8/7/17
1450,51,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,3,89,8/7/17
1451,52,My Girl,Dylan Scott,14,39,8/7/17
1452,53,Versace On The Floor,Bruno Mars,7,47,8/7/17
1453,54,Bad Liar,Selena Gomez,11,30,8/7/17
1454,55,Feel It Still,Portugal. The Man,6,63,8/7/17
1455,56,Felices Los 4,Maluma,11,48,8/7/17
1456,57,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,13,55,8/7/17
1457,58,Do I Make You Wanna,Billy Currington,7,57,8/7/17
1458,59,DNA.,Kendrick Lamar,15,51,8/7/17
1459,60,Drinkin' Problem,Midland,12,54,8/7/17
1460,61,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",1,0,8/7/17
1461,62,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",7,56,8/7/17
1462,63,What Ifs,Kane Brown Featuring Lauren Alaina,7,65,8/7/17
1463,64,Loyalty.,Kendrick Lamar Featuring Rihanna,15,62,8/7/17
1464,65,Butterfly Effect,Travis Scott,9,60,8/7/17
1465,66,No Such Thing As A Broken Heart,Old Dominion,9,64,8/7/17
1466,67,Flatliner,Cole Swindell,14,66,8/7/17
1467,68,No Promises,Cheat Codes Featuring Demi Lovato,11,68,8/7/17
1468,69,Thunder,Imagine Dragons,13,59,8/7/17
1469,70,You Look Good,Lady Antebellum,16,67,8/7/17
1470,71,Escapate Conmigo,Wisin Featuring Ozuna,7,70,8/7/17
1471,72,Most Girls,Hailee Steinfeld,10,58,8/7/17
1472,73,Heartache On The Dance Floor,Jon Pardi,4,81,8/7/17
1473,74,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,5,82,8/7/17
1474,75,Love.,Kendrick Lamar Featuring Zacari,15,77,8/7/17
1475,76,Somebody Else Will,Justin Moore,8,84,8/7/17
1476,77,Issues,Meek Mill,1,0,8/7/17
1477,78,Privacy,Chris Brown,13,76,8/7/17
1478,79,Wins & Losses,Meek Mill,1,0,8/7/17
1479,80,Passionfruit,Drake,19,74,8/7/17
1480,81,It's Goin' Down,Descendants 2 Cast,1,0,8/7/17
1481,82,Young Dumb & Broke,Khalid,2,91,8/7/17
1482,83,1942 Flows,Meek Mill,1,0,8/7/17
1483,84,First Day Out,Tee Grizzley,17,69,8/7/17
1484,85,Glorious,Macklemore Featuring Skylar Grey,3,99,8/7/17
1485,86,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,19,79,8/7/17
1486,87,Yours If You Want It,Rascal Flatts,10,71,8/7/17
1487,88,4:00 AM,2 Chainz Featuring Travis Scott,8,83,8/7/17
1488,89,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,18,80,8/7/17
1489,90,Down,Fifth Harmony Featuring Gucci Mane,7,78,8/7/17
1490,91,Imitadora,Romeo Santos,1,0,8/7/17
1491,92,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",8,95,8/7/17
1492,93,It Ain't My Fault,Brothers Osborne,6,94,8/7/17
1493,94,El Amante,Nicky Jam,12,92,8/7/17
1494,95,The Story Of O.J.,JAY-Z,3,72,8/7/17
1495,96,We Ball,Meek Mill Featuring Young Thug,1,0,8/7/17
1496,97,F**k That Check Up,Meek Mill & Lil Uzi Vert,1,0,8/7/17
1497,98,Signs,Drake,5,88,8/7/17
1498,99,Heavy Heart,Meek Mill,1,0,8/7/17
1499,100,Reminder,The Weeknd,12,90,8/7/17
1500,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,29,1,8/14/17
1501,2,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,7,2,8/14/17
1502,3,Unforgettable,French Montana Featuring Swae Lee,17,6,8/14/17
1503,4,That's What I Like,Bruno Mars,29,3,8/14/17
1504,5,Believer,Imagine Dragons,26,5,8/14/17
1505,6,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",14,4,8/14/17
1506,7,Attention,Charlie Puth,15,9,8/14/17
1507,8,There's Nothing Holdin' Me Back,Shawn Mendes,15,8,8/14/17
1508,9,Shape Of You,Ed Sheeran,30,7,8/14/17
1509,10,Body Like A Back Road,Sam Hunt,27,10,8/14/17
1510,11,Congratulations,Post Malone Featuring Quavo,32,11,8/14/17
1511,12,Redbone,Childish Gambino,35,13,8/14/17
1512,13,Humble.,Kendrick Lamar,18,12,8/14/17
1513,14,Bodak Yellow (Money Moves),Cardi B,5,28,8/14/17
1514,15,Slow Hands,Niall Horan,14,18,8/14/17
1515,16,Strip That Down,Liam Payne Featuring Quavo,11,16,8/14/17
1516,17,Something Just Like This,The Chainsmokers & Coldplay,24,15,8/14/17
1517,18,Bank Account,21 Savage,4,21,8/14/17
1518,19,Stay,Zedd & Alessia Cara,23,14,8/14/17
1519,20,XO TOUR Llif3,Lil Uzi Vert,19,17,8/14/17
1520,21,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",7,23,8/14/17
1521,22,Now Or Never,Halsey,17,19,8/14/17
1522,23,Mask Off,Future,24,20,8/14/17
1523,24,It Ain't Me,Kygo x Selena Gomez,25,22,8/14/17
1524,25,Say You Won't Let Go,James Arthur,41,24,8/14/17
1525,26,Rake It Up,Yo Gotti Featuring Nicki Minaj,5,32,8/14/17
1526,27,Location,Khalid,30,27,8/14/17
1527,28,Mi Gente,J Balvin & Willy William Featuring Beyonce,5,30,8/14/17
1528,29,Castle On The Hill,Ed Sheeran,30,25,8/14/17
1529,30,Sorry Not Sorry,Demi Lovato,4,26,8/14/17
1530,31,Loyalty.,Kendrick Lamar Featuring Rihanna,16,64,8/14/17
1531,32,Praying,Kesha,4,38,8/14/17
1532,33,Slippery,Migos Featuring Gucci Mane,19,31,8/14/17
1533,34,Feel It Still,Portugal. The Man,7,55,8/14/17
1534,35,Magnolia,Playboi Carti,14,33,8/14/17
1535,36,Everyday We Lit,YFN Lucci Featuring PnB Rock,17,36,8/14/17
1536,37,Love Galore,SZA Featuring Travis Scott,8,46,8/14/17
1537,38,You Da Baddest,Future Featuring Nicki Minaj,1,0,8/14/17
1538,39,Issues,Julia Michaels,28,35,8/14/17
1539,40,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,18,43,8/14/17
1540,41,Fetish,Selena Gomez Featuring Gucci Mane,4,41,8/14/17
1541,42,Small Town Boy,Dustin Lynch,9,49,8/14/17
1542,43,In Case You Didn't Know,Brett Young,26,44,8/14/17
1543,44,2U,David Guetta Featuring Justin Bieber,8,29,8/14/17
1544,45,Craving You,Thomas Rhett Featuring Maren Morris,18,48,8/14/17
1545,46,Versace On The Floor,Bruno Mars,8,53,8/14/17
1546,47,Do I Make You Wanna,Billy Currington,8,58,8/14/17
1547,48,What Ifs,Kane Brown Featuring Lauren Alaina,8,63,8/14/17
1548,49,Rolex,Ayo & Teo,25,50,8/14/17
1549,50,Drinkin' Problem,Midland,13,60,8/14/17
1550,51,No Promises,Cheat Codes Featuring Demi Lovato,12,68,8/14/17
1551,52,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,14,57,8/14/17
1552,53,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",8,62,8/14/17
1553,54,Thunder,Imagine Dragons,14,69,8/14/17
1554,55,Malibu,Miley Cyrus,13,42,8/14/17
1555,56,Flatliner,Cole Swindell,15,67,8/14/17
1556,57,My Girl,Dylan Scott,15,52,8/14/17
1557,58,Felices Los 4,Maluma,12,56,8/14/17
1558,59,No Such Thing As A Broken Heart,Old Dominion,10,66,8/14/17
1559,60,DNA.,Kendrick Lamar,16,59,8/14/17
1560,61,Butterfly Effect,Travis Scott,10,65,8/14/17
1561,62,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,4,51,8/14/17
1562,63,Heartache On The Dance Floor,Jon Pardi,5,73,8/14/17
1563,64,Young Dumb & Broke,Khalid,3,82,8/14/17
1564,65,Most Girls,Hailee Steinfeld,11,72,8/14/17
1565,66,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,6,74,8/14/17
1566,67,Bad Liar,Selena Gomez,12,54,8/14/17
1567,68,Unforgettable,Thomas Rhett,1,0,8/14/17
1568,69,Somebody Else Will,Justin Moore,9,76,8/14/17
1569,70,You Look Good,Lady Antebellum,17,70,8/14/17
1570,71,Escapate Conmigo,Wisin Featuring Ozuna,8,71,8/14/17
1571,72,Love.,Kendrick Lamar Featuring Zacari,16,75,8/14/17
1572,73,Reminder,The Weeknd,13,100,8/14/17
1573,74,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,2,40,8/14/17
1574,75,Do Re Mi,blackbear,8,0,8/14/17
1575,76,Glorious,Macklemore Featuring Skylar Grey,4,85,8/14/17
1576,77,It's Goin' Down,Descendants 2 Cast,2,81,8/14/17
1577,78,Privacy,Chris Brown,14,78,8/14/17
1578,79,First Day Out,Tee Grizzley,18,84,8/14/17
1579,80,Down,Fifth Harmony Featuring Gucci Mane,8,90,8/14/17
1580,81,Passionfruit,Drake,20,80,8/14/17
1581,82,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,20,86,8/14/17
1582,83,4:00 AM,2 Chainz Featuring Travis Scott,9,88,8/14/17
1583,84,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",2,61,8/14/17
1584,85,When It Rains It Pours,Luke Combs,1,0,8/14/17
1585,86,It Ain't My Fault,Brothers Osborne,7,93,8/14/17
1586,87,They Don't Know,Jason Aldean,1,0,8/14/17
1587,88,Honest,The Chainsmokers,1,0,8/14/17
1588,89,The Weekend,SZA,1,0,8/14/17
1589,90,New Rules,Dua Lipa,1,0,8/14/17
1590,91,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",9,92,8/14/17
1591,92,El Amante,Nicky Jam,13,94,8/14/17
1592,93,Wish I Knew You,The Revivalists,1,0,8/14/17
1593,94,Every Little Thing,Carly Pearce,1,0,8/14/17
1594,95,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,19,89,8/14/17
1595,96,Heavy,Linkin Park Featuring Kiiara,19,45,8/14/17
1596,97,Learn To Let Go,Kesha,1,0,8/14/17
1597,98,All The Pretty Girls,Kenny Chesney,1,0,8/14/17
1598,99,For Her,Chris Lane,1,0,8/14/17
1599,100,Signs,Drake,6,98,8/14/17
1600,1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,30,1,8/21/17
1601,2,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,8,2,8/21/17
1602,3,Unforgettable,French Montana Featuring Swae Lee,18,3,8/21/17
1603,4,Believer,Imagine Dragons,27,5,8/21/17
1604,5,Attention,Charlie Puth,16,7,8/21/17
1605,6,There's Nothing Holdin' Me Back,Shawn Mendes,16,8,8/21/17
1606,7,That's What I Like,Bruno Mars,30,4,8/21/17
1607,8,Bodak Yellow (Money Moves),Cardi B,6,14,8/21/17
1608,9,Shape Of You,Ed Sheeran,31,9,8/21/17
1609,10,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",15,6,8/21/17
1610,11,Body Like A Back Road,Sam Hunt,28,10,8/21/17
1611,12,Bank Account,21 Savage,5,18,8/21/17
1612,13,Redbone,Childish Gambino,36,12,8/21/17
1613,14,Congratulations,Post Malone Featuring Quavo,33,11,8/21/17
1614,15,Strip That Down,Liam Payne Featuring Quavo,12,16,8/21/17
1615,16,Humble.,Kendrick Lamar,19,13,8/21/17
1616,17,Slow Hands,Niall Horan,15,15,8/21/17
1617,18,XO TOUR Llif3,Lil Uzi Vert,20,20,8/21/17
1618,19,Something Just Like This,The Chainsmokers & Coldplay,25,17,8/21/17
1619,20,Stay,Zedd & Alessia Cara,24,19,8/21/17
1620,21,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",8,21,8/21/17
1621,22,Rake It Up,Yo Gotti Featuring Nicki Minaj,6,26,8/21/17
1622,23,Mi Gente,J Balvin & Willy William Featuring Beyonce,6,28,8/21/17
1623,24,Praying,Kesha,5,32,8/21/17
1624,25,Mask Off,Future,25,23,8/21/17
1625,26,Now Or Never,Halsey,18,22,8/21/17
1626,27,Say You Won't Let Go,James Arthur,42,25,8/21/17
1627,28,Sorry Not Sorry,Demi Lovato,5,30,8/21/17
1628,29,Location,Khalid,31,27,8/21/17
1629,30,Feel It Still,Portugal. The Man,8,34,8/21/17
1630,31,It Ain't Me,Kygo x Selena Gomez,26,24,8/21/17
1631,32,Loyalty.,Kendrick Lamar Featuring Rihanna,17,31,8/21/17
1632,33,Castle On The Hill,Ed Sheeran,31,29,8/21/17
1633,34,Magnolia,Playboi Carti,15,35,8/21/17
1634,35,Love Galore,SZA Featuring Travis Scott,9,37,8/21/17
1635,36,Everyday We Lit,YFN Lucci Featuring PnB Rock,18,36,8/21/17
1636,37,Slippery,Migos Featuring Gucci Mane,20,33,8/21/17
1637,38,Small Town Boy,Dustin Lynch,10,42,8/21/17
1638,39,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,19,40,8/21/17
1639,40,What Ifs,Kane Brown Featuring Lauren Alaina,9,48,8/21/17
1640,41,In Case You Didn't Know,Brett Young,27,43,8/21/17
1641,42,No Promises,Cheat Codes Featuring Demi Lovato,13,51,8/21/17
1642,43,Versace On The Floor,Bruno Mars,9,46,8/21/17
1643,44,Issues,Julia Michaels,29,39,8/21/17
1644,45,2U,David Guetta Featuring Justin Bieber,9,44,8/21/17
1645,46,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",9,53,8/21/17
1646,47,Fetish,Selena Gomez Featuring Gucci Mane,5,41,8/21/17
1647,48,Drinkin' Problem,Midland,14,50,8/21/17
1648,49,Young Dumb & Broke,Khalid,4,64,8/21/17
1649,50,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,15,52,8/21/17
1650,51,No Such Thing As A Broken Heart,Old Dominion,11,59,8/21/17
1651,52,Do I Make You Wanna,Billy Currington,9,47,8/21/17
1652,53,Thunder,Imagine Dragons,15,54,8/21/17
1653,54,Heartache On The Dance Floor,Jon Pardi,6,63,8/21/17
1654,55,Butterfly Effect,Travis Scott,11,61,8/21/17
1655,56,Flatliner,Cole Swindell,16,56,8/21/17
1656,57,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,5,62,8/21/17
1657,58,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,7,66,8/21/17
1658,59,DNA.,Kendrick Lamar,17,60,8/21/17
1659,60,Most Girls,Hailee Steinfeld,12,65,8/21/17
1660,61,Felices Los 4,Maluma,13,58,8/21/17
1661,62,Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,3,74,8/21/17
1662,63,Craving You,Thomas Rhett Featuring Maren Morris,19,45,8/21/17
1663,64,Somebody Else Will,Justin Moore,10,69,8/21/17
1664,65,Reminder,The Weeknd,14,73,8/21/17
1665,66,My Girl,Dylan Scott,16,57,8/21/17
1666,67,Do Re Mi,blackbear,9,75,8/21/17
1667,68,Escapate Conmigo,Wisin Featuring Ozuna,9,71,8/21/17
1668,69,You Look Good,Lady Antebellum,18,70,8/21/17
1669,70,The Race,Tay-K,1,0,8/21/17
1670,71,Glorious,Macklemore Featuring Skylar Grey,5,76,8/21/17
1671,72,Love.,Kendrick Lamar Featuring Zacari,17,72,8/21/17
1672,73,Malibu,Miley Cyrus,14,55,8/21/17
1673,74,Bad Liar,Selena Gomez,13,67,8/21/17
1674,75,The Weekend,SZA,2,89,8/21/17
1675,76,Patty Cake,Kodak Black,1,0,8/21/17
1676,77,Honest,The Chainsmokers,2,88,8/21/17
1677,78,First Day Out,Tee Grizzley,19,79,8/21/17
1678,79,Privacy,Chris Brown,15,78,8/21/17
1679,80,When It Rains It Pours,Luke Combs,2,85,8/21/17
1680,81,OMG,Camila Cabello Featuring Quavo,1,0,8/21/17
1681,82,What About Us,P!nk,1,0,8/21/17
1682,83,New Rules,Dua Lipa,2,90,8/21/17
1683,84,Perplexing Pegasus,Rae Sremmurd,1,0,8/21/17
1684,85,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",3,84,8/21/17
1685,86,Unforgettable,Thomas Rhett,2,68,8/21/17
1686,87,You Da Baddest,Future Featuring Nicki Minaj,2,38,8/21/17
1687,88,Wish I Knew You,The Revivalists,2,93,8/21/17
1688,89,They Don't Know,Jason Aldean,2,87,8/21/17
1689,90,Down,Fifth Harmony Featuring Gucci Mane,9,80,8/21/17
1690,91,It Ain't My Fault,Brothers Osborne,8,86,8/21/17
1691,92,All The Pretty Girls,Kenny Chesney,2,98,8/21/17
